"","month","year","ORIGIN","DEST","Flights"
"351",3,2000,"SEA","MSO",1
"352",3,2000,"SEA","MSP",6
"353",3,2000,"SEA","MWH",1
"354",3,2000,"SEA","OAK",8
"355",3,2000,"SEA","ORD",10
"356",3,2000,"SEA","PDX",7
"357",3,2000,"SEA","PHL",2
"358",3,2000,"SEA","PHX",7
"359",3,2000,"SEA","PIT",2
"360",3,2000,"SEA","PUW",1
"361",3,2000,"SEA","RDM",1
"362",3,2000,"SEA","RNO",7
"363",3,2000,"SEA","SAN",2
"364",3,2000,"SEA","SAT",1
"365",3,2000,"SEA","SBA",1
"366",3,2000,"SEA","SFO",7
"367",3,2000,"SEA","SJC",9
"368",3,2000,"SEA","SLC",7
"369",3,2000,"SEA","SMF",7
"370",3,2000,"SEA","SNA",4
"371",3,2000,"SEA","SPS",2
"372",3,2000,"SEA","STL",2
"373",3,2000,"SEA","TWF",1
"374",3,2000,"SEA","YKM",1
"375",3,2000,"SFO","SEA",6
"376",3,2000,"SJC","SEA",8
"377",3,2000,"SLC","SEA",7
"378",3,2000,"SMF","SEA",7
"379",3,2000,"SNA","SEA",4
"380",3,2000,"STL","SEA",2
"381",3,2000,"TWF","SEA",1
"382",3,2000,"YKM","SEA",1
"383",4,2000,"ABQ","SEA",1
"384",4,2000,"ALW","SEA",1
"385",4,2000,"ANC","SEA",9
"386",4,2000,"ATL","SEA",3
"387",4,2000,"BFI","SEA",1
"388",4,2000,"BIL","SEA",1
"389",4,2000,"BLI","SEA",1
"390",4,2000,"BNA","SEA",1
"391",4,2000,"BOS","SEA",1
"392",4,2000,"BTM","SEA",2
"393",4,2000,"BZN","SEA",1
"394",4,2000,"CLM","SEA",1
"395",4,2000,"CLT","SEA",1
"396",4,2000,"CVG","SEA",2
"397",4,2000,"DET","SEA",1
"398",4,2000,"DFW","SEA",5
"399",4,2000,"DTW","SEA",4
"400",4,2000,"EAT","SEA",1
"401",4,2000,"EKO","SEA",1
"402",4,2000,"EUG","SEA",1
"403",4,2000,"EWR","SEA",4
"404",4,2000,"FAI","SEA",3
"405",4,2000,"FAT","SEA",1
"406",4,2000,"FCA","SEA",1
"407",4,2000,"GEG","SEA",8
"408",4,2000,"GTF","SEA",2
"409",4,2000,"HLN","SEA",2
"410",4,2000,"HNL","SEA",2
"411",4,2000,"IAD","SEA",3
"412",4,2000,"IAH","SEA",3
"413",4,2000,"JFK","SEA",3
"414",4,2000,"JNU","SEA",3
"415",4,2000,"KTN","SEA",3
"416",4,2000,"LAS","SEA",5
"417",4,2000,"LAX","SEA",9
"418",4,2000,"LWS","SEA",1
"419",4,2000,"MCI","SEA",1
"420",4,2000,"MDW","SEA",1
"421",4,2000,"MEM","SEA",2
"422",4,2000,"MFR","SEA",1
"423",4,2000,"MIA","SEA",1
"424",4,2000,"MSO","SEA",1
"425",4,2000,"MSP","SEA",5
"426",4,2000,"MWH","SEA",2
"427",4,2000,"OAK","SEA",7
"428",4,2000,"ORD","SEA",9
"429",4,2000,"PDX","SEA",8
"430",4,2000,"PHL","SEA",3
"431",4,2000,"PHX","SEA",7
"432",4,2000,"PIT","SEA",3
"433",4,2000,"PUW","SEA",1
"434",4,2000,"RDM","SEA",1
"435",4,2000,"RNO","SEA",7
"436",4,2000,"SAN","SEA",2
"437",4,2000,"SEA","ABQ",1
"438",4,2000,"SEA","ALW",1
"439",4,2000,"SEA","ANC",10
"440",4,2000,"SEA","ATL",4
"441",4,2000,"SEA","AUS",1
"442",4,2000,"SEA","BIL",1
"443",4,2000,"SEA","BLI",1
"444",4,2000,"SEA","BNA",1
"445",4,2000,"SEA","BOS",1
"446",4,2000,"SEA","BTM",2
"447",4,2000,"SEA","BZN",1
"448",4,2000,"SEA","CLM",1
"449",4,2000,"SEA","CLT",1
"450",4,2000,"SEA","CMI",1
"451",4,2000,"SEA","CVG",2
"452",4,2000,"SEA","DET",1
"453",4,2000,"SEA","DFW",4
"454",4,2000,"SEA","DTW",3
"455",4,2000,"SEA","EAT",1
"456",4,2000,"SEA","EKO",1
"457",4,2000,"SEA","EUG",1
"458",4,2000,"SEA","EWR",3
"459",4,2000,"SEA","FAI",1
"460",4,2000,"SEA","FAT",1
"461",4,2000,"SEA","FCA",1
"462",4,2000,"SEA","GEG",8
"463",4,2000,"SEA","GTF",2
